,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
165,0.05,6,7,0.6,12,0.86308337,0.937522599,0.082477632,0.117645548,0.109716884,0.119481245,0.788069217,0.762748468,automl\GBM_AutoMl_165
1161,0.0875,8,5,0.8,12,0.863082685,0.928654487,0.094645747,0.127318487,0.07198356,0.143348795,0.82140255,0.722386864,automl\GBM_AutoMl_1161
412,0.0625,5,7,0.8,13,0.863062931,0.923078313,0.101302071,0.135210815,0.053460032,0.158450181,0.819034608,0.726237584,automl\GBM_AutoMl_412
279,0.05,8,6,0.9,12,0.86305641,0.930201515,0.090635117,0.121645901,0.056342809,0.13819608,0.785245902,0.731514869,automl\GBM_AutoMl_279
366,0.0625,5,4,0.8,12,0.863038317,0.923747264,0.103063343,0.140732475,0.054267677,0.165481599,0.824043716,0.728502415,automl\GBM_AutoMl_366
822,0.075,7,6,1,12,0.863022917,0.930554015,0.089343982,0.113218908,0.029278328,0.132441246,0.750091075,0.729333629,automl\GBM_AutoMl_822
670,0.075,5,4,0.9,13,0.862999307,0.928875986,0.099214007,0.141381137,0.079302004,0.160168995,0.842258652,0.72675835,automl\GBM_AutoMl_670
1089,0.0875,7,4,0.9,12,0.862976908,0.929350814,0.098557717,0.133142802,0.086644159,0.147649141,0.846265938,0.720589376,automl\GBM_AutoMl_1089
441,0.0625,6,5,0.8,12,0.862852155,0.923047225,0.099858094,0.125832504,0.052179282,0.146730975,0.811657559,0.720278025,automl\GBM_AutoMl_441
101,0.05,5,6,0.9,14,0.86284514,0.921295886,0.103539828,0.138336919,0.050021752,0.163456383,0.820400729,0.727272727,automl\GBM_AutoMl_101
968,0.0875,5,4,0.8,14,0.862791995,0.931489639,0.094129409,0.130267172,0.084767778,0.144089387,0.835063752,0.719362937,automl\GBM_AutoMl_968
1463,0.1,8,5,0.8,14,0.862770749,0.930901638,0.092408644,0.128696092,0.083099688,0.141678356,0.821766849,0.728160433,automl\GBM_AutoMl_1463
330,0.0625,4,6,0.6,12,0.862708476,0.924731644,0.101788002,0.141431714,0.048109648,0.164765976,0.796539162,0.746309412,automl\GBM_AutoMl_330
986,0.0875,5,5,0.9,14,0.862704387,0.931744044,0.096766987,0.13423461,0.099794795,0.145146098,0.853460838,0.721817832,automl\GBM_AutoMl_986
52,0.05,4,7,0.8,13,0.862668367,0.913050454,0.107708572,0.130594714,0.030190249,0.159237897,0.812295082,0.7191582,automl\GBM_AutoMl_52
915,0.0875,4,5,0.6,12,0.86266728,0.92680077,0.101113764,0.13349764,0.075091749,0.151564077,0.840528233,0.718377831,automl\GBM_AutoMl_915
1181,0.0875,8,6,0.9,14,0.862653546,0.926293104,0.09665341,0.131233743,0.069983134,0.148884672,0.822495446,0.72500301,automl\GBM_AutoMl_1181
319,0.0625,4,5,0.7,13,0.86261839,0.918798927,0.101967466,0.131093253,0.042000855,0.154291713,0.797540984,0.734432004,automl\GBM_AutoMl_319
902,0.0875,4,4,0.6,14,0.862565331,0.920471482,0.102612929,0.124623487,0.037927938,0.148936597,0.803460838,0.71662402,automl\GBM_AutoMl_902
623,0.075,4,5,0.8,14,0.862547936,0.921166849,0.102166349,0.124969494,0.042703753,0.148046795,0.805555556,0.718404808,automl\GBM_AutoMl_623
516,0.0625,7,6,0.8,12,0.862537845,0.924021146,0.100851869,0.135110465,0.054668185,0.158078082,0.817941712,0.723894733,automl\GBM_AutoMl_516
471,0.0625,6,7,0.8,12,0.862443195,0.925518127,0.09718832,0.129402556,0.063727783,0.148265475,0.817668488,0.721791213,automl\GBM_AutoMl_471
900,0.0875,4,4,0.6,12,0.862402609,0.923395165,0.100214313,0.136415016,0.073111177,0.153890756,0.822313297,0.738447698,automl\GBM_AutoMl_900
440,0.0625,6,5,0.7,14,0.862380216,0.9277998,0.093532683,0.118090299,0.043967894,0.13639385,0.773497268,0.728575105,automl\GBM_AutoMl_440
